date,nav,fund_name,fund_code,category,short_name
2017-07-11,27.7881,Tata Retirement Savings Fund- Progressive Plan -Direct Plan-Growth Option,119251,Debt,HDFC Short Term
2017-07-12,27.9541,Tata Retirement Savings Fund- Progressive Plan -Direct Plan-Growth Option,119251,Debt,HDFC Short Term
2017-07-13,28.2284,Tata Retirement Savings Fund- Progressive Plan -Direct Plan-Growth Option,119251,Debt,HDFC Short Term
2017-07-14,28.1731,Tata Retirement Savings Fund- Progressive Plan -Direct Plan-Growth Option,119251,Debt,HDFC Short Term
2017-07-17,28.171,Tata Retirement Savings Fund- Progressive Plan -Direct Plan-Growth Option,119251,Debt,HDFC Short Term
2017-07-18,27.9558,Tata Retirement Savings Fund- Progressive Plan -Direct Plan-Growth Option,119251,Debt,HDFC Short Term
2017-07-19,28.2393,Tata Retirement Savings Fund- Progressive Plan -Direct Plan-Growth Option,119251,Debt,HDFC Short Term
2017-07-20,28.2508,Tata Retirement Savings Fund- Progressive Plan -Direct Plan-Growth Option,119251,Debt,HDFC Short Term
2017-07-21,28.3558,Tata Retirement Savings Fund- Progressive Plan -Direct Plan-Growth Option,119251,Debt,HDFC Short Term
2017-07-24,28.3391,Tata Retirement Savings Fund- Progressive Plan -Direct Plan-Growth Option,119251,Debt,HDFC Short Term
2017-07-25,28.256,Tata Retirement Savings Fund- Progressive Plan -Direct Plan-Growth Option,119251,Debt,HDFC Short Term
2017-07-26,28.3765,Tata Retirement Savings Fund- Progressive Plan -Direct Plan-Growth Option,119251,Debt,HDFC Short Term
2017-07-27,28.4295,Tata Retirement Savings Fund- Progressive Plan -Direct Plan-Growth Option,119251,Debt,HDFC Short Term
2017-07-28,28.598,Tata Retirement Savings Fund- Progressive Plan -Direct Plan-Growth Option,119251,Debt,HDFC Short Term
2017-07-31,28.6009,Tata Retirement Savings Fund- Progressive Plan -Direct Plan-Growth Option,119251,Debt,HDFC Short Term
2017-08-01,28.7189,Tata Retirement Savings Fund- Progressive Plan -Direct Plan-Growth Option,119251,Debt,HDFC Short Term
2017-08-02,28.6233,Tata Retirement Savings Fund- Progressive Plan -Direct Plan-Growth Option,119251,Debt,HDFC Short Term
2017-08-03,28.3815,Tata Retirement Savings Fund- Progressive Plan -Direct Plan-Growth Option,119251,Debt,HDFC Short Term
2017-08-04,28.4542,Tata Retirement Savings Fund- Progressive Plan -Direct Plan-Growth Option,119251,Debt,HDFC Short Term
2017-08-07,28.756,Tata Retirement Savings Fund- Progressive Plan -Direct Plan-Growth Option,119251,Debt,HDFC Short Term
2017-08-08,28.4962,Tata Retirement Savings Fund- Progressive Plan -Direct Plan-Growth Option,119251,Debt,HDFC Short Term
2017-08-09,28.1295,Tata Retirement Savings Fund- Progressive Plan -Direct Plan-Growth Option,119251,Debt,HDFC Short Term
2017-08-10,27.4734,Tata Retirement Savings Fund- Progressive Plan -Direct Plan-Growth Option,119251,Debt,HDFC Short Term
2017-08-11,27.5548,Tata Retirement Savings Fund- Progressive Plan -Direct Plan-Growth Option,119251,Debt,HDFC Short Term
2017-08-14,28.1365,Tata Retirement Savings Fund- Progressive Plan -Direct Plan-Growth Option,119251,Debt,HDFC Short Term
2017-08-16,28.5292,Tata Retirement Savings Fund- Progressive Plan -Direct Plan-Growth Option,119251,Debt,HDFC Short Term
2017-08-17,28.5374,Tata Retirement Savings Fund- Progressive Plan -Direct Plan-Growth Option,119251,Debt,HDFC Short Term
2017-08-18,28.4996,Tata Retirement Savings Fund- Progressive Plan -Direct Plan-Growth Option,119251,Debt,HDFC Short Term
2017-08-21,28.2232,Tata Retirement Savings Fund- Progressive Plan -Direct Plan-Growth Option,119251,Debt,HDFC Short Term
2017-08-22,28.1671,Tata Retirement Savings Fund- Progressive Plan -Direct Plan-Growth Option,119251,Debt,HDFC Short Term
2017-08-23,28.4766,Tata Retirement Savings Fund- Progressive Plan -Direct Plan-Growth Option,119251,Debt,HDFC Short Term
2017-08-24,28.5106,Tata Retirement Savings Fund- Progressive Plan -Direct Plan-Growth Option,119251,Debt,HDFC Short Term
2017-08-28,28.8324,Tata Retirement Savings Fund- Progressive Plan -Direct Plan-Growth Option,119251,Debt,HDFC Short Term
2017-08-29,28.5497,Tata Retirement Savings Fund- Progressive Plan -Direct Plan-Growth Option,119251,Debt,HDFC Short Term
2017-08-30,28.8947,Tata Retirement Savings Fund- Progressive Plan -Direct Plan-Growth Option,119251,Debt,HDFC Short Term
2017-08-31,29.1426,Tata Retirement Savings Fund- Progressive Plan -Direct Plan-Growth Option,119251,Debt,HDFC Short Term
2017-09-01,29.4032,Tata Retirement Savings Fund- Progressive Plan -Direct Plan-Growth Option,119251,Debt,HDFC Short Term
2017-09-04,29.3537,Tata Retirement Savings Fund- Progressive Plan -Direct Plan-Growth Option,119251,Debt,HDFC Short Term
2017-09-05,29.5941,Tata Retirement Savings Fund- Progressive Plan -Direct Plan-Growth Option,119251,Debt,HDFC Short Term
2017-09-06,29.8295,Tata Retirement Savings Fund- Progressive Plan -Direct Plan-Growth Option,119251,Debt,HDFC Short Term
2017-09-07,30.0883,Tata Retirement Savings Fund- Progressive Plan -Direct Plan-Growth Option,119251,Debt,HDFC Short Term
2017-09-08,30.0143,Tata Retirement Savings Fund- Progressive Plan -Direct Plan-Growth Option,119251,Debt,HDFC Short Term
2017-09-11,30.4263,Tata Retirement Savings Fund- Progressive Plan -Direct Plan-Growth Option,119251,Debt,HDFC Short Term
2017-09-12,30.5959,Tata Retirement Savings Fund- Progressive Plan -Direct Plan-Growth Option,119251,Debt,HDFC Short Term
2017-09-13,30.3517,Tata Retirement Savings Fund- Progressive Plan -Direct Plan-Growth Option,119251,Debt,HDFC Short Term
2017-09-14,30.406,Tata Retirement Savings Fund- Progressive Plan -Direct Plan-Growth Option,119251,Debt,HDFC Short Term
2017-09-15,30.4649,Tata Retirement Savings Fund- Progressive Plan -Direct Plan-Growth Option,119251,Debt,HDFC Short Term
2017-09-18,30.6156,Tata Retirement Savings Fund- Progressive Plan -Direct Plan-Growth Option,119251,Debt,HDFC Short Term
2017-09-19,30.6506,Tata Retirement Savings Fund- Progressive Plan -Direct Plan-Growth Option,119251,Debt,HDFC Short Term
2017-09-20,30.6384,Tata Retirement Savings Fund- Progressive Plan -Direct Plan-Growth Option,119251,Debt,HDFC Short Term
2017-09-21,30.4884,Tata Retirement Savings Fund- Progressive Plan -Direct Plan-Growth Option,119251,Debt,HDFC Short Term
2017-09-22,29.8034,Tata Retirement Savings Fund- Progressive Plan -Direct Plan-Growth Option,119251,Debt,HDFC Short Term
2017-09-25,29.3576,Tata Retirement Savings Fund- Progressive Plan -Direct Plan-Growth Option,119251,Debt,HDFC Short Term
2017-09-26,29.5286,Tata Retirement Savings Fund- Progressive Plan -Direct Plan-Growth Option,119251,Debt,HDFC Short Term
2017-09-27,29.0197,Tata Retirement Savings Fund- Progressive Plan -Direct Plan-Growth Option,119251,Debt,HDFC Short Term
2017-09-28,29.0905,Tata Retirement Savings Fund- Progressive Plan -Direct Plan-Growth Option,119251,Debt,HDFC Short Term
2017-09-29,29.4198,Tata Retirement Savings Fund- Progressive Plan -Direct Plan-Growth Option,119251,Debt,HDFC Short Term
2017-10-03,29.5595,Tata Retirement Savings Fund- Progressive Plan -Direct Plan-Growth Option,119251,Debt,HDFC Short Term
2017-10-04,29.662,Tata Retirement Savings Fund- Progressive Plan -Direct Plan-Growth Option,119251,Debt,HDFC Short Term
2017-10-05,29.7658,Tata Retirement Savings Fund- Progressive Plan -Direct Plan-Growth Option,119251,Debt,HDFC Short Term
2017-10-06,30.078,Tata Retirement Savings Fund- Progressive Plan -Direct Plan-Growth Option,119251,Debt,HDFC Short Term
2017-10-09,30.0961,Tata Retirement Savings Fund- Progressive Plan -Direct Plan-Growth Option,119251,Debt,HDFC Short Term
2017-10-10,30.3625,Tata Retirement Savings Fund- Progressive Plan -Direct Plan-Growth Option,119251,Debt,HDFC Short Term
2017-10-11,30.152,Tata Retirement Savings Fund- Progressive Plan -Direct Plan-Growth Option,119251,Debt,HDFC Short Term
2017-10-12,30.4429,Tata Retirement Savings Fund- Progressive Plan -Direct Plan-Growth Option,119251,Debt,HDFC Short Term
2017-10-13,30.4891,Tata Retirement Savings Fund- Progressive Plan -Direct Plan-Growth Option,119251,Debt,HDFC Short Term
2017-10-16,30.4907,Tata Retirement Savings Fund- Progressive Plan -Direct Plan-Growth Option,119251,Debt,HDFC Short Term
2017-10-17,30.4968,Tata Retirement Savings Fund- Progressive Plan -Direct Plan-Growth Option,119251,Debt,HDFC Short Term
2017-10-18,30.422,Tata Retirement Savings Fund- Progressive Plan -Direct Plan-Growth Option,119251,Debt,HDFC Short Term
2017-10-23,30.3125,Tata Retirement Savings Fund- Progressive Plan -Direct Plan-Growth Option,119251,Debt,HDFC Short Term
2017-10-24,30.3159,Tata Retirement Savings Fund- Progressive Plan -Direct Plan-Growth Option,119251,Debt,HDFC Short Term
2017-10-25,30.2169,Tata Retirement Savings Fund- Progressive Plan -Direct Plan-Growth Option,119251,Debt,HDFC Short Term
2017-10-26,30.2785,Tata Retirement Savings Fund- Progressive Plan -Direct Plan-Growth Option,119251,Debt,HDFC Short Term
2017-10-27,30.4378,Tata Retirement Savings Fund- Progressive Plan -Direct Plan-Growth Option,119251,Debt,HDFC Short Term
2017-10-30,30.8214,Tata Retirement Savings Fund- Progressive Plan -Direct Plan-Growth Option,119251,Debt,HDFC Short Term
2017-10-31,30.7641,Tata Retirement Savings Fund- Progressive Plan -Direct Plan-Growth Option,119251,Debt,HDFC Short Term
2017-11-01,30.8514,Tata Retirement Savings Fund- Progressive Plan -Direct Plan-Growth Option,119251,Debt,HDFC Short Term
2017-11-02,30.899,Tata Retirement Savings Fund- Progressive Plan -Direct Plan-Growth Option,119251,Debt,HDFC Short Term
2017-11-03,30.9168,Tata Retirement Savings Fund- Progressive Plan -Direct Plan-Growth Option,119251,Debt,HDFC Short Term
2017-11-06,30.8467,Tata Retirement Savings Fund- Progressive Plan -Direct Plan-Growth Option,119251,Debt,HDFC Short Term
2017-11-07,30.5644,Tata Retirement Savings Fund- Progressive Plan -Direct Plan-Growth Option,119251,Debt,HDFC Short Term
2017-11-08,30.3986,Tata Retirement Savings Fund- Progressive Plan -Direct Plan-Growth Option,119251,Debt,HDFC Short Term
2017-11-09,30.4806,Tata Retirement Savings Fund- Progressive Plan -Direct Plan-Growth Option,119251,Debt,HDFC Short Term
2017-11-10,30.4301,Tata Retirement Savings Fund- Progressive Plan -Direct Plan-Growth Option,119251,Debt,HDFC Short Term
2017-11-13,30.295,Tata Retirement Savings Fund- Progressive Plan -Direct Plan-Growth Option,119251,Debt,HDFC Short Term
2017-11-14,30.248,Tata Retirement Savings Fund- Progressive Plan -Direct Plan-Growth Option,119251,Debt,HDFC Short Term
2017-11-15,29.9253,Tata Retirement Savings Fund- Progressive Plan -Direct Plan-Growth Option,119251,Debt,HDFC Short Term
2017-11-16,30.2273,Tata Retirement Savings Fund- Progressive Plan -Direct Plan-Growth Option,119251,Debt,HDFC Short Term
2017-11-17,30.4445,Tata Retirement Savings Fund- Progressive Plan -Direct Plan-Growth Option,119251,Debt,HDFC Short Term
2017-11-20,30.658,Tata Retirement Savings Fund- Progressive Plan -Direct Plan-Growth Option,119251,Debt,HDFC Short Term
2017-11-21,30.8014,Tata Retirement Savings Fund- Progressive Plan -Direct Plan-Growth Option,119251,Debt,HDFC Short Term
2017-11-22,31.0642,Tata Retirement Savings Fund- Progressive Plan -Direct Plan-Growth Option,119251,Debt,HDFC Short Term
2017-11-23,31.0264,Tata Retirement Savings Fund- Progressive Plan -Direct Plan-Growth Option,119251,Debt,HDFC Short Term
2017-11-24,31.2459,Tata Retirement Savings Fund- Progressive Plan -Direct Plan-Growth Option,119251,Debt,HDFC Short Term
2017-11-27,31.3046,Tata Retirement Savings Fund- Progressive Plan -Direct Plan-Growth Option,119251,Debt,HDFC Short Term
2017-11-28,31.2235,Tata Retirement Savings Fund- Progressive Plan -Direct Plan-Growth Option,119251,Debt,HDFC Short Term
2017-11-29,31.2793,Tata Retirement Savings Fund- Progressive Plan -Direct Plan-Growth Option,119251,Debt,HDFC Short Term
2017-11-30,31.0674,Tata Retirement Savings Fund- Progressive Plan -Direct Plan-Growth Option,119251,Debt,HDFC Short Term
2017-12-01,30.66,Tata Retirement Savings Fund- Progressive Plan -Direct Plan-Growth Option,119251,Debt,HDFC Short Term
2017-12-04,30.531,Tata Retirement Savings Fund- Progressive Plan -Direct Plan-Growth Option,119251,Debt,HDFC Short Term
2017-12-05,30.5212,Tata Retirement Savings Fund- Progressive Plan -Direct Plan-Growth Option,119251,Debt,HDFC Short Term
2017-12-06,30.2705,Tata Retirement Savings Fund- Progressive Plan -Direct Plan-Growth Option,119251,Debt,HDFC Short Term
2017-12-07,30.6771,Tata Retirement Savings Fund- Progressive Plan -Direct Plan-Growth Option,119251,Debt,HDFC Short Term
2017-12-08,31.0524,Tata Retirement Savings Fund- Progressive Plan -Direct Plan-Growth Option,119251,Debt,HDFC Short Term
2017-12-11,31.0774,Tata Retirement Savings Fund- Progressive Plan -Direct Plan-Growth Option,119251,Debt,HDFC Short Term
2017-12-12,30.9006,Tata Retirement Savings Fund- Progressive Plan -Direct Plan-Growth Option,119251,Debt,HDFC Short Term
2017-12-13,30.695,Tata Retirement Savings Fund- Progressive Plan -Direct Plan-Growth Option,119251,Debt,HDFC Short Term
2017-12-14,30.7439,Tata Retirement Savings Fund- Progressive Plan -Direct Plan-Growth Option,119251,Debt,HDFC Short Term
2017-12-15,31.1105,Tata Retirement Savings Fund- Progressive Plan -Direct Plan-Growth Option,119251,Debt,HDFC Short Term
2017-12-18,31.2641,Tata Retirement Savings Fund- Progressive Plan -Direct Plan-Growth Option,119251,Debt,HDFC Short Term
2017-12-19,31.6715,Tata Retirement Savings Fund- Progressive Plan -Direct Plan-Growth Option,119251,Debt,HDFC Short Term
2017-12-20,31.7641,Tata Retirement Savings Fund- Progressive Plan -Direct Plan-Growth Option,119251,Debt,HDFC Short Term
2017-12-21,31.9451,Tata Retirement Savings Fund- Progressive Plan -Direct Plan-Growth Option,119251,Debt,HDFC Short Term
2017-12-22,32.1054,Tata Retirement Savings Fund- Progressive Plan -Direct Plan-Growth Option,119251,Debt,HDFC Short Term
2017-12-26,32.2292,Tata Retirement Savings Fund- Progressive Plan -Direct Plan-Growth Option,119251,Debt,HDFC Short Term
2017-12-27,32.1207,Tata Retirement Savings Fund- Progressive Plan -Direct Plan-Growth Option,119251,Debt,HDFC Short Term
2017-12-28,32.0638,Tata Retirement Savings Fund- Progressive Plan -Direct Plan-Growth Option,119251,Debt,HDFC Short Term
2017-12-29,32.2147,Tata Retirement Savings Fund- Progressive Plan -Direct Plan-Growth Option,119251,Debt,HDFC Short Term
2018-01-01,32.1076,Tata Retirement Savings Fund- Progressive Plan -Direct Plan-Growth Option,119251,Debt,HDFC Short Term
2018-01-02,31.8803,Tata Retirement Savings Fund- Progressive Plan -Direct Plan-Growth Option,119251,Debt,HDFC Short Term
2018-01-03,32.0295,Tata Retirement Savings Fund- Progressive Plan -Direct Plan-Growth Option,119251,Debt,HDFC Short Term
2018-01-04,32.3067,Tata Retirement Savings Fund- Progressive Plan -Direct Plan-Growth Option,119251,Debt,HDFC Short Term
2018-01-05,32.703,Tata Retirement Savings Fund- Progressive Plan -Direct Plan-Growth Option,119251,Debt,HDFC Short Term
2018-01-08,32.7487,Tata Retirement Savings Fund- Progressive Plan -Direct Plan-Growth Option,119251,Debt,HDFC Short Term
2018-01-09,32.7518,Tata Retirement Savings Fund- Progressive Plan -Direct Plan-Growth Option,119251,Debt,HDFC Short Term
2018-01-10,32.6565,Tata Retirement Savings Fund- Progressive Plan -Direct Plan-Growth Option,119251,Debt,HDFC Short Term
2018-01-11,32.7724,Tata Retirement Savings Fund- Progressive Plan -Direct Plan-Growth Option,119251,Debt,HDFC Short Term
2018-01-12,32.7969,Tata Retirement Savings Fund- Progressive Plan -Direct Plan-Growth Option,119251,Debt,HDFC Short Term
2018-01-15,32.7688,Tata Retirement Savings Fund- Progressive Plan -Direct Plan-Growth Option,119251,Debt,HDFC Short Term
2018-01-16,32.3314,Tata Retirement Savings Fund- Progressive Plan -Direct Plan-Growth Option,119251,Debt,HDFC Short Term
2018-01-17,32.4483,Tata Retirement Savings Fund- Progressive Plan -Direct Plan-Growth Option,119251,Debt,HDFC Short Term
2018-01-18,32.1193,Tata Retirement Savings Fund- Progressive Plan -Direct Plan-Growth Option,119251,Debt,HDFC Short Term
2018-01-19,32.4668,Tata Retirement Savings Fund- Progressive Plan -Direct Plan-Growth Option,119251,Debt,HDFC Short Term
2018-01-22,32.6835,Tata Retirement Savings Fund- Progressive Plan -Direct Plan-Growth Option,119251,Debt,HDFC Short Term
2018-01-23,32.8475,Tata Retirement Savings Fund- Progressive Plan -Direct Plan-Growth Option,119251,Debt,HDFC Short Term
2018-01-24,32.7168,Tata Retirement Savings Fund- Progressive Plan -Direct Plan-Growth Option,119251,Debt,HDFC Short Term
2018-01-25,32.5473,Tata Retirement Savings Fund- Progressive Plan -Direct Plan-Growth Option,119251,Debt,HDFC Short Term
2018-01-29,32.5264,Tata Retirement Savings Fund- Progressive Plan -Direct Plan-Growth Option,119251,Debt,HDFC Short Term
2018-01-30,32.36,Tata Retirement Savings Fund- Progressive Plan -Direct Plan-Growth Option,119251,Debt,HDFC Short Term
2018-01-31,32.1448,Tata Retirement Savings Fund- Progressive Plan -Direct Plan-Growth Option,119251,Debt,HDFC Short Term
2018-02-01,32.2663,Tata Retirement Savings Fund- Progressive Plan -Direct Plan-Growth Option,119251,Debt,HDFC Short Term
2018-02-02,31.1236,Tata Retirement Savings Fund- Progressive Plan -Direct Plan-Growth Option,119251,Debt,HDFC Short Term
